title,text,rating,id,language,reviewer,location,cons,pros,url,datetime,reviewer_employee_type,job_work_and_life_balance_rating,compensation_and_benefits_rating,job_security_and_advancement_rating,management_rating,job_culture_rating
"care for employees, fair pay, good working climate","The management was caring, there was good supervision and feedback, fair pay, good ambiance within the company and nice offers to increase well being such as an ergotherapist coming to work, nice food and events for staff. I really can't say anything bad about the company as an employer.",5,1ht2h4fjtgb6s802,en,Call Center Agentin Inbound,"Amsterdam, MO",could have more breaks,free lunches,https://indeed.com/cmp/Booking.com/reviews/care-for-employees-fair-pay-good-working-climate?id=30ac4973cafe6938,2024-05-04T00:00:00,Former Employee,5,5,5,5,5
No Diversity,"The salary and perks are good. 

But the company has very poor diversity,  all manager have the same background, they are Irish, and if you are not, you can't grow there.",1,1hsai7sr7j6fn800,en,Anonymous,"Dublin, Ireland",,,https://indeed.com/cmp/Booking.com/reviews/no-diversity?id=e6e6392479b6de02,2024-04-25T00:00:00,Former Employee,0,0,0,0,0
Good overall ,"Good overall, fun atmosphere, acceptable benefits, diminished overtime,  yearly trip to Amsterdam, been stressfull during Covid and high season , overall a great experience ",4,1hs7jcsr9imiu800,en,CSR - Customer Service Representative,"Bellevue, WA",,,https://indeed.com/cmp/Booking.com/reviews/good-overall?id=7211ec5fa2cc015d,2024-04-24T00:00:00,Former Employee,0,0,0,0,0
Salary is not the best,Good place to work but not to build a career.  The work environment is ok but there is a lot of room for improvement. In general it was a good experience.,4,1hqdq24udkef0800,en,Good place to work ,"Lisbon, Portugal ",,,https://indeed.com/cmp/Booking.com/reviews/salary-is-not-the-best?id=4a99c9ee5efa694c,2024-04-01T00:00:00,Former Employee,0,0,0,0,0
Strict KPIs but great colleagues ,It was almost impossible to meet expectations and reach KPIs when working on the phone all day but I got to work with wonderful people in a very nice office.,3,1hq0v0kp0jrih800,en,Partner specialist ,"London, Greater London",,,https://indeed.com/cmp/Booking.com/reviews/strict-kpis-but-great-colleagues?id=545f4cda01442809,2024-03-27T00:00:00,Former Employee,0,0,0,0,0
Incompetent leadership ,"Because the company is making money, it can pay reasonably well compared to others. However, it is evident that the leadership is not competent. Anything and everything is possible as there is no HR for the employees. Always hiring, putting people on burn out due to mismanagement and then firing people. ",2,1hppc1vdvjk90800,en,Content Manager,Amsterdam,,,https://indeed.com/cmp/Booking.com/reviews/incompetent-leadership?id=a58b6384ae57f3db,2024-03-24T00:00:00,Current Employee,0,0,0,0,0
"Good intentions, bad execution ","At the beginning of my journey I really felt in love with the company values, codes of conduct, etc etc the benefits were fine, after a couple of years the company took a different direction in considerations for the employees. No more Q bonus, Salary increases were just a joke, even if you exceeded your evaluations ( was my case) I had to negotiate multiple times for a proper salary. 
At the end of my journey HR and Management team did not give me an end interview or either had a call with their camera. Everything was through calls, it was so disappointed to feel a company that worked for almost 4 years were so ungrateful. 

I would like to clarify that my direct leader was fenomenal! I stayed longer because of that person, she was fighting always for my well being and overall feelings, because I was a truly good employee with reals goals, organized and my results were incredible, my evaluations during that periods were always exceed or meet, never bellow. 

So take that in count. I will be forever thankful for the opportunity to meet a lot of people around the globe but how they behave was a shame. I truly believe that not represent b.com culture and values. ",3,1hph316lhk6ol802,en,Office Manager,United States,"Bad management team, contradictory leadership","Meals, fitness allowance",https://indeed.com/cmp/Booking.com/reviews/good-intentions-bad-execution?id=34a909392aa30715,2024-03-21T00:00:00,Former Employee,1,1,5,3,3
Solid pay but no direction,"Depending on your department, the leadership can have no path forward. As a result of COVID, people were promoted quickly. This has resulted in many of the ""leaders"" not being very suited for their roles. Projects are almost always delayed and something that has a timeline of 6 months will quickly stretch to 3 years of actual implementation. If you appreciate being quite disconnected from the actual success and don't mind many barriers to working, it can be quite nice. If you are actually invested, you will end up very frustrated with the ineptitude of management. This is a big shame, as there is a lot of very talented people at the company that are otherwise limited by those at the top.",3,1hpe372bg2gr4002,en,Data Analyst,"Amsterdam, NL",,,https://indeed.com/cmp/Booking.com/reviews/solid-pay-but-no-direction?id=377f33ae837baeb6,2024-03-20T00:00:00,Current Employee,0,0,0,0,0
Booking.com ,"Bonne expérience dans un environnement multiculturel. Salaire plutôt correct, possibilités d'évolution. Très bien pour une première expérience mais pas pour rester longtemps ",4,1hosrqjlrjklk801,fr,Conseillère clientèle,Tourcoing (59),,,https://indeed.com/cmp/Booking.com/reviews/booking-com?id=76c16443b8a490b8,2024-03-13T00:00:00,Former Employee,0,0,0,0,0
Good company,"Great company to work for, an engaging multicultural place, where you will meet people from all walks of life. Good career progression and amazing perks",4,1hoaaggj6isvv800,en,Project Manager,"Manchester, Greater Manchester",,,https://indeed.com/cmp/Booking.com/reviews/good-company?id=af1acea87b163c41,2024-03-06T00:00:00,Current Employee,0,0,0,0,0
Gezellige werksfeer,"Leuk team en goeie sfeer binnen het team.
Je leert veel op een dag hoeveel er precies gedaan moet worden elke dag in zo'n groot gebouw.
Bedrijfscultuur is informeel, maar niet altijs goeie support van de managers.",3,1hnpu0d8rjklk800,nl,Office Manager,Amsterdam,,,https://indeed.com/cmp/Booking.com/reviews/gezellige-werksfeer?id=40aa2e10a8b50154,2024-02-29T00:00:00,Former Employee,0,0,0,0,0
Toxic environment ,"The management system is extremely poor and environment very unhealthy, lots of gossiping going about on a daily basis and the culture very toxic (if you can call that culture). No path of growth and progression.

Best thing was the friendship I made during my spell with the business.",2,1hnedbf7di9ao801,en,Customer Support,Manchester,Lack of recognition and growth,Ownership,https://indeed.com/cmp/Booking.com/reviews/toxic-environment?id=138dd636ba7f34b0,2024-02-24T00:00:00,Former Employee,2,2,1,2,1
Belle expérience,"C'était une belle expérience de travail, des collègues internationaux, une bonne ambiance général et un bon management! Le seul point négatif est que ce site à aujourd'hui été racheté par un sous-traitant et les conditions ont donc du bien changer....",4,1hn59n40rjkav802,fr,Service clientèle,Tourcoing (59),,,https://indeed.com/cmp/Booking.com/reviews/belle-exp%C3%A9rience?id=777b40be9b996862,2024-02-21T00:00:00,Former Employee,0,0,0,0,0
Depends on your market ,"I haven’t worked for the company since 2021 but when I was there I would say it was a brilliant company to work for like every place has its pros and cons. A typical day to day was working across 3 platforms to help customers with any queries related to their bookings. Depending on what market you were on it could be a breeze but if you’re applying to work ok the English market don’t even bother applying Run!!. The calls are nonstop ! And they expect you to answer every single one and help the customer within a certain time frame shocking as every problem is not the same it was fun to get to know other cultures and have such good diversity in the office but it could be really catty as everyone dated each other there. Some managers were helpful and others were just terrible. I’m 

",4,1hmoof460gpe1801,en,Customer Service Guest Specialist,Manchester,"Management, hard to progress, rude management, awful shifts ok the English market","Christmas party, summer party, gift credit card for 300 euros, canteen in the building with the lovely meals, diversity of people, the manager me I had did actually help me developing my customer service skills, the development team was brilliant",https://indeed.com/cmp/Booking.com/reviews/depends-on-your-market?id=d8aa7ec74c0ee5bd,2024-02-16T00:00:00,Former Employee,2,2,2,2,5
Micro managed with toxic environment.,I went through a whole process to move to Amsterdam - including shipping all my stuff and bringing my cat over - just for the manager to decide he didn't like me since day one. I was fired for basically not being extrovert and was constantly forced to join into activities outside work by my manager. The culture in that place is beyond toxic. In summary it's a great place to work if you're a workaholic who doesn't have a life outside work and only hangout with your workmates. A joke of a company.,1,1hm7rqflai46o800,en,Technical Support,Gemeente Amsterdam,Management are incompetent,None,https://indeed.com/cmp/Booking.com/reviews/micro-managed-with-toxic-environment?id=28e70d64a4d28143,2024-02-09T00:00:00,Former Employee,1,1,1,1,1
Wonderful experience ,I loved working there due to the friendly compensation rates provided. It also helped me grow my work experience and tailored my professionalism for the global community needs.,4,1hl09lfjm25m4000,en,House attendant ,Nairobi ,,,https://indeed.com/cmp/Booking.com/reviews/wonderful-experience?id=52e9fc8e73a1f747,2024-01-25T00:00:00,Former Employee,0,0,0,0,0
Tech company with growing pains,Currently trying to adapt from a startup where investors believed anything you told them to an accountable public company. Lots of interesting areas to contribute but also hyper focused on everyone staying in their own lane and not stretching themselves. Very check the box on competenties in the job description so don’t focus on business impact unless your job says you should.,3,1hkm97mq8j3v3800,en,Senior Manager,"Amsterdam, Netherlands",,,https://indeed.com/cmp/Booking.com/reviews/tech-company-with-growing-pains?id=6d40d1897e43c768,2024-01-21T00:00:00,Current Employee,0,0,0,0,0
fun ,"Working in the travel industry is an exhilarating journey filled with excitement and diverse experiences. Each day brings new opportunities to explore the world, connect with people, and create memorable moments. The dynamic nature of the travel sector fosters a vibrant and fast-paced work environment, keeping professionals on their toes. From crafting dream itineraries to assisting travelers in their adventures, the job is inherently rewarding.

Interacting with individuals from various cultures and backgrounds adds a colorful dimension to the work, making it both enriching and enjoyable. The thrill of contributing to someone's dream vacation and witnessing their joy is unparalleled. The travel industry's ever-evolving landscape also allows for continuous learning and adaptation, ensuring that no two days are the same. Overall, the travel industry is not just a job; it's a gateway to a world of fun, exploration, and fulfillm",5,1hjv2sv3ficb8801,en,Guest Service Agent,"Canary Wharf, Greater London",,,https://indeed.com/cmp/Booking.com/reviews/fun?id=e59c31b6d05ebb6c,2024-01-12T00:00:00,Current Employee,0,0,0,0,0
Fun But Complicated ,"Great place to work, fun environment, awesome people but difficult to get work done because of long decision making processes and convoluted processes.",4,1hjqpgdghih2r800,en,Manager,NYC,,,https://indeed.com/cmp/Booking.com/reviews/fun-but-complicated?id=681edd6cd3898908,2024-01-10T00:00:00,Current Employee,0,0,0,0,0
Great place to work,"Great environment and you meet a lot of people, always new opportunities inside the company and you can grown your career very quickly if you are focused on it.
Salary not very competitive as any other company with same role pays much more.
I would still recommend the place, one of the best place i've worked ",5,1hjk6jl27lga0800,en,Customer Service Advisor,Manchester,poor salary,Free lunches,https://indeed.com/cmp/Booking.com/reviews/great-place-to-work?id=2054ba07a2a114ba,2024-01-08T00:00:00,Current Employee,4,3,4,4,5
Good diverse place,Its a good diverse place to work at. Supervisor and managers were always willing to help. Moving up in the company was always an option. Different departments to work with,4,1hions7te28um002,en,Account Manager,"Grand Rapids, MI",,,https://indeed.com/cmp/Booking.com/reviews/good-diverse-place?id=53d0127b6acf01aa,2023-12-28T00:00:00,Former Employee,0,0,0,0,0
"Perfect geschikt voor mij, ook omdat het volledig thuiswerk was, en makkelijk (vind ik).","Wat is het leukste aan werken bij het bedrijf?
zelfstandigheid en haar richtlijnen die het werk heel soepel maakte en duidelijk!

Wat is het meest stressvolle aan werken bij het bedrijf?
Als collega's onduidelijke notities hebben achtergelaten van hun call in het systeem en ik nu de klant aan de lijn heb

Hoe zijn de werkomgeving en werkcultuur bij het bedrijf?
Vriendelijk, informeel, comfortabel

Hoe ziet een typische dag er voor je uit bij het bedrijf?
Mails beantwoorden, chats beantwoorden, calls opnemen, contact met partners en duidelijke notities achterlaten voor de volgende collega",5,1hik6nq14j9iu800,nl,Klantenservice medewerker inbound,Amsterdam,,,https://indeed.com/cmp/Booking.com/reviews/perfect-geschikt-voor-mij-ook-omdat-het-volledig-thuiswerk-was-en-makkelijk-vind-ik?id=625d67990a6fcb1a,2023-12-26T00:00:00,Former Employee,0,0,0,0,0
Productive and fun workplace,"Very diverse in cultures, open and friendly people in general. The company is huge, there is some hierarchy but they still try to make the atmosphere more informal and people are queite approachable.",4,1hi0tit0ikj91800,en,Procurement Assistant,"Ambleside, Cumbria",,,https://indeed.com/cmp/Booking.com/reviews/productive-and-fun-workplace?id=2ebff5b249c54faf,2023-12-19T00:00:00,Former Employee,0,0,0,0,0
Great Place,"Nice career booster, people are lovely and the everyday activities are exciting. Whatever is relevant, from a legal perspective, for our society is relevant for Booking.com too.",5,1hi0pvvqhjkmh801,en,Legal Intern,Amsterdam,,,https://indeed.com/cmp/Booking.com/reviews/great-place?id=af8c5b1111017780,2023-12-19T00:00:00,Former Employee,0,0,0,0,0
Ladrones,"Son unos ladrones y unos estafadores. No cuidan a sus empleados. Solo buscan el beneficio estafando a los clientes, a los hoteles socios y recortando a los empleados.",1,1hgvrm518gpek801,es,Especialista atención al cliente,"Barcelona, Barcelona provincia","Problemas con las nóminas, pagas extras, días festivos, muy dócil pedir vacaciones, trabajar festivos y fines de semana",Seguro médico,https://indeed.com/cmp/Booking.com/reviews/ladrones?id=85c77bee5871e360,2023-12-06T00:00:00,Current Employee,1,1,1,1,1
Productive & Fun,Booking.com was a fun place to wirk and a great way to learn the hotel industry.  If you like the perks of traveling for work and having to travel out the country from time to time this might be a great opportunity for you. They also order Fresh Direct 2xs per week for employees to have healthy eating options everyday,4,1hgrssk1hje31802,en,Acquisition Manager,"New York, NY",,,https://indeed.com/cmp/Booking.com/reviews/productive-fun?id=68a085a608d5062f,2023-12-04T00:00:00,Former Employee,0,0,0,0,0
Positive for my first role but really negative for my second role,"What is the best part of working at the company?
The benefits they give you are appealing 

What is the most stressful part about working at the company?
The team work, the management or lack of, lack of flexibility for mothers.

What is the work environment and culture like at the company?
Generic and not centred on knowing the individual 

What is a typical day like for you at the company?
Commute, work, go home and commute again",1,1hgbqmjgniqu3801,en,Partner community manager ,Amsterdam,,,https://indeed.com/cmp/Booking.com/reviews/positive-for-my-first-role-but-really-negative-for-my-second-role?id=d41fc96e5eec1a98,2023-11-28T00:00:00,Former Employee,0,0,0,0,0
Awesome ,"Booking was an awesome place to work.  Culture was great. Coworkers were fantastic.  Hope the office didn't get impact by the outbreak,  we all got layoff. ",5,1hgatho0ghars800,en,Manager,Washington State,,,https://indeed.com/cmp/Booking.com/reviews/awesome?id=d38ba31e283fa5a5,2023-11-28T00:00:00,Former Employee,0,0,0,0,0
Ambiente fantastico ,"Ambiente di lavoro inclusivo e piacevole, lavoro alla lunga un po' monotono e stressante. Colleghi fantastici, buoni benefit e retribuzione nella media. A volte è difficile raggiungere gli obiettivi e questo rende tutto più stressante. Poca o nessuna possibilità di crescita se non si è disponibili ad un trasferimento. ",4,1hg2r8cu4ic8i800,it,Account Executive,"Roma, Lazio",,,https://indeed.com/cmp/Booking.com/reviews/ambiente-fantastico?id=04989e6ebacab67b,2023-11-25T00:00:00,Current Employee,0,0,0,0,0
it is cool place to work. Great environment to grow.,it is cool place to work. Great environment to grow. Like it here working. Open culture. Here everyone is heard. Amsterdam office is so beautiful. I like it here,5,1hf8jl4t3ipal800,en,Application Specialist,nederland,,,https://indeed.com/cmp/Booking.com/reviews/it-is-cool-place-to-work-great-environment-to-grow?id=415068c91893224d,2023-11-14T00:00:00,Current Employee,0,0,0,0,0
Not a great place to work in my particular role,"What is the best part of working at the company?
This is one of the worst roles I have had with minimal management support

What is the most stressful part about working at the company?
It was a very disorganised department with poor management",1,1hen79ocvissp800,en,Controls manager,"Manchester, Greater Manchester",,,https://indeed.com/cmp/Booking.com/reviews/not-a-great-place-to-work-in-my-particular-role?id=522b5fd8be48a992,2023-11-08T00:00:00,Former Employee,0,0,0,0,0
Not a great place to work in my particular role,"What is the best part of working at the company?
This is one of the worst roles I have had with minimal management support

What is the most stressful part about working at the company?
It was a very disorganised department with poor management",1,1hen79ocvissp800,en,Controls manager,"Manchester, Greater Manchester",,,https://indeed.com/cmp/Booking.com/reviews/not-a-great-place-to-work-in-my-particular-role?id=522b5fd8be48a992,2023-11-08T00:00:00,Former Employee,0,0,0,0,0
"Good benifits, bad tech","Very good benifits for Amsterdam but the work is boring, managment is bad and tech is terrible. Toxic managment everywhere, leadership doesn't really have a clue.",3,1he8ah8ani46l800,en,Software Engineer,amsterdam,,,https://indeed.com/cmp/Booking.com/reviews/good-benifits-bad-tech?id=6481a8a001f1589c,2023-11-02T00:00:00,Current Employee,0,0,0,0,0
Perfect,"Perfect Place to work, fast paced and open minded.",5,1he812l4e2eig000,en,Customer Service Specialist,Cambridge,,,https://indeed.com/cmp/Booking.com/reviews/perfect?id=5db5731d09341236,2023-11-02T00:00:00,Former Employee,0,0,0,0,0
Bad payment and no opportunities ,"Bad payment, no opportunities.
The more they elevate the targets the less u get paid. 
The only thing that keeps u going is ur colleagues going trough the same ",1,1hdcno5tni3r0801,en,Bilingual Partner Support Specialist,Portugal ,,,https://indeed.com/cmp/Booking.com/reviews/bad-payment-and-no-opportunities?id=4bbd6b307154496d,2023-10-22T00:00:00,Former Employee,3,1,1,3,3
Diverse place to work ,"Lots of different nationalities makes for a wonderfully diverse working place. 
Extremely inclusive and overall, not a bad place to work.  Brand new offices with state of the art equipment. ",4,1hcsuhdrsi90s802,en,Team Manager,"Manchester City Centre, Greater Manchester",,,https://indeed.com/cmp/Booking.com/reviews/diverse-place-to-work?id=63cfadcef3f32ba9,2023-10-16T00:00:00,Former Employee,0,0,0,0,0
Large Company,Incredible benefits but it’s such a large company you do feel like another number. A lot of support and encouragement to get to know your coworkers which is nice. The work is very stressful and mentally demanding - the company has an okay response and reaction I didn’t feel supported. ,3,1hclv1mj1hap3801,en,Customer Service Representative,"Grand Rapids, MI",,,https://indeed.com/cmp/Booking.com/reviews/large-company?id=584bf037d948abf2,2023-10-13T00:00:00,Former Employee,0,0,0,0,0
La sintesi della recensione è obbligatoria.,"Quali sono gli aspetti migliori del tuo ruolo presso lazienda?
Ho imparato tantissimo come una  prima esperienza 

Quali sono gli aspetti più stressanti del ruolo presso lazienda?
I orari non-sono feasible e stipendio unpo basso 

Come sono lambiente e la cultura lavorativi presso lazienda?
buone sono troppo professionale",4,1hckn3ofm2cpt000,it,Customer service specialist Ita/Eng,"Milano, Lombardia",,,https://indeed.com/cmp/Booking.com/reviews/la-sintesi-della-recensione-%C3%A8-obbligatoria?id=547caebd5dec62fd,2023-10-13T00:00:00,Former Employee,0,0,0,0,0
Great internship,"My internship at Booking.com was a rewarding experience. The Accounts Receivable team was supportive and fostered an environment of learning. I was given real responsibilities which allowed me to understand the intricacies of financial operations in a global company. The exposure to various accounting software and systems enhanced my technical skills. The company culture was inclusive and encouraged collaboration, making it easy for me to integrate and contribute. Regular feedback sessions with my supervisor helped me improve my work efficiency. The opportunity to work with diverse teams provided me with a broader perspective of the business. Despite the challenging tasks, the work-life balance was commendable. Overall, my internship at Booking.com significantly contributed to my professional growth and has left me better equipped for future roles in finance.",5,1hchrsirn2cfk000,en,Intern,Amsterdam,,,https://indeed.com/cmp/Booking.com/reviews/great-internship?id=a26078d9c2b53566,2023-10-12T00:00:00,Former Employee,0,0,0,0,0
Productive engaging fun environment very friendly ,"Typical day resolving guests issues email,phone chat..Productive engaging fun environment learned guest resolution,management very friendly and professional,culture : professional,hardest part of the job, multiple lines for chat ,most enjoyable part of the job . hardly any micro-managing 
",5,1hbtuic19iqug800,en,"Customer Service, Travel Liaison Guest Services","Toronto, ON",None,Free breakfast lunch good pay,https://indeed.com/cmp/Booking.com/reviews/productive-engaging-fun-environment-very-friendly?id=a509176ec106100d,2023-10-04T00:00:00,Current Employee,5,5,5,5,5
Don't pay market rate,"As a former customer service associate at Booking.com, I can say that the company has its pros and cons. On the one hand, the company has a great culture and a friendly work environment. However, I did notice that people who got promoted tended to be those who were friendly with the leadership team, rather than those who were the most qualified for the job.

Additionally, while the job itself was not particularly difficult, the amount of work expected from us was quite high, especially given the low pay. I often felt overworked and underpaid, which led to a lot of stress and burnout. Overall, I would recommend Booking.com as a good place to work, but only if you are willing to accept the low pay and put up with the high workload.",4,1hbgsgth62dul000,en,Customer Service Associate,"Orlando, FL",,,https://indeed.com/cmp/Booking.com/reviews/don-t-pay-market-rate?id=ec371579b001f375,2023-09-29T00:00:00,Former Employee,0,0,0,0,0
Glen Fogel is Evil,CEO only cares about money and definitely does not care about customers. They eliminated customer service department and outsourced the work to a temp workers. ,1,1hbbqff4pkp0h800,en,Partner Support Specialist,"Grand Rapids, MI",,,https://indeed.com/cmp/Booking.com/reviews/glen-fogel-is-evil?id=720e896abdab5f38,2023-09-27T00:00:00,Former Employee,0,0,0,0,0
Stressful,A lot of change all the time.  It would get overwhelmed at times. Culture is good they seem to care about their employees. They have good benefits for their employees ,4,1hb6ashqfjcb9801,en,Account Executive,"Orlando, FL",,,https://indeed.com/cmp/Booking.com/reviews/stressful?id=262711acd0e2267e,2023-09-25T00:00:00,Current Employee,0,0,0,0,0
Bonne boîte,"A l'époque en tout cas, était l'une des rares boîtes à garder son service client en interne. Entreprise néerlandaise donc bonne considération des employés et de leur bien être. ",4,1hanrcqntgped800,fr,CSE,Tourcoing (59),,,https://indeed.com/cmp/Booking.com/reviews/bonne-bo%C3%AEte?id=fbd475077bc82b70,2023-09-19T00:00:00,Former Employee,0,0,0,0,0
"Challenging, poor management","Lots of pressure, many challenges, middle management has no personal boundaries. Salary is average to good but there's a lot of turnover. I would recommend if first job but after that i would go elsewhere.",3,1ha6pros32hjb000,en,Account Manager,Italia,,,https://indeed.com/cmp/Booking.com/reviews/challenging-poor-management?id=9d6043a1ae8d153b,2023-09-13T00:00:00,Former Employee,0,0,0,0,0
"Fun colleagues, a bit hectic management style","It's a fun place to work where you meet many great and talented people from all around the world. You get to perfection your skills working in professional teams. Lunches are great, salary is not high.  Very unstable management style.",4,1ha1i5oe8gb5a803,en,Language Specialist,"Netherlands, Amsterdam",,,https://indeed.com/cmp/Booking.com/reviews/fun-colleagues-a-bit-hectic-management-style?id=3f42b7a7f44a60e7,2023-09-11T00:00:00,Former Employee,0,0,0,0,0
