title,text,rating,id,language,reviewer,location,cons,pros,url,datetime,reviewer_employee_type,job_work_and_life_balance_rating,compensation_and_benefits_rating,job_security_and_advancement_rating,management_rating,job_culture_rating
Fun Workplace with Perks,"What is the best part of working at the company?
You’re paid to help people find the best destination and the most affordable price! With destinations all over the World my talent connects people with rentals and money exchange rates!

What is the most stressful part about working at the company?
Endless Calls and understanding different dialects

What is the work environment and culture like at the company?
Very healthy fun exciting , promotions  and days off

What is a typical day like for you at the company?
Helping people book a place they can afford answer there concerns",5,1i0rf4gqrj3ij801,en,Airbnb Host,"Monterey Park, CA",,,https://indeed.com/cmp/Airbnb/reviews/fun-workplace-with-perks?id=286db22c89b244c5,2024-06-20T00:00:00,Current Employee,0,0,0,0,0
Bon travail,"Ce travail,c'est le seule que j'aimerais refaire .l'ambiance avec l'employeur était trop bien on était dans une ambiance vraiment convivial et le travail n'est pas trop stressant",5,1i0p8qvlb2d61002,fr,Agent d'entretien,Strasbourg (67),,,https://indeed.com/cmp/Airbnb/reviews/bon-travail?id=63c919e7f2b1aa11,2024-06-19T00:00:00,Former Employee,0,0,0,0,0
Working with Airbnb was a great opportunities for personal and professional growth.,"What is the best part of working at the company?
The culture, and being part of a community that aligns with your values and goals.

What is the most stressful part about working at the company?
The lower management not trained enough to handle people. 

What is the work environment and culture like at the company?
Teamwork is highly valued, and employees are encouraged to share idea.

What is a typical day like for you at the company?
Attending meetings or team stand-ups to discuss project progress, collaborating with colleagues on various projects or initiatives, completing individual tasks or assignments, and communicating with clients and stakeholders as needed.",5,1i03t2bpkkkfe800,en,Executive Escalation Associate,"Montréal, QC",,,https://indeed.com/cmp/Airbnb/reviews/working-with-airbnb-was-a-great-opportunities-for-personal-and-professional-growth?id=b5ab7b4d0c3f6d3d,2024-06-11T00:00:00,Current Employee,0,0,0,0,0
Learning experience,"My first job was at Air BNB, good environment that challenged me to do my best. I learned how to clean at a high standard for guests, and received 5 stars for it.",5,1hvmsggd7jorl801,en,House Cleaner,"Kissimmee, FL",,,https://indeed.com/cmp/Airbnb/reviews/learning-experience?id=c9b2ef13ec00c525,2024-06-06T00:00:00,Former Employee,0,0,0,0,0
"They owe me money, but is the best job I’ve ever had","Only problem I have with this company is they owe me $30,000 and they didn’t cover their air claim and it lost me in my house in my business. Other than that, I’ve really enjoyed you family vacations, and I regret that they stop paying me and change the format of Customerservice. Can’t get anyone on the phone higher than an ambassador that can actually do anything or help you with it.",3,1hvgmdd9ajrqv800,en,Vacation Host/Property Manager ,"Rockport, TX",,,https://indeed.com/cmp/Airbnb/reviews/they-owe-me-money-but-is-the-best-job-i-ve-ever-had?id=976be07bfaf74907,2024-06-03T00:00:00,Current Employee,5,1,3,1,5
Good place ,so long as you are lucky enough to have a good manager you will get on very well. great colleagues and plenty of opportunities to develop your skills ,3,1hv5pe7ndp5n4802,en,Customer Service,"Dublin, County Dublin",,,https://indeed.com/cmp/Airbnb/reviews/good-place?id=bc65700dce291766,2024-05-30T00:00:00,Former Employee,0,0,0,0,0
Amazing ,"What is the best part of working at the company?
To exceed the expectations of my guests

What is the most stressful part about working at the company?
Unexpected repairs that must be solved in record time

What is the work environment and culture like at the company?
Create extraordinary experiences that exceed the expectations of our guests

What is a typical day like for you at the company?
Maintain clear and fast communication",5,1huk53ff7irlt800,en,Airbnb Super Host,"Cabo San Lucas, B.C.S.",,,https://indeed.com/cmp/Airbnb/reviews/amazing?id=c43482247f2bbd27,2024-05-23T00:00:00,Current Employee,0,0,0,0,0
great work hours as its remote and self employed ,good work for someone that has strong work ethics and great time management skills. Needs to be available at all times for guests need to keep up good ratings and earn super host ,5,1huhjohqfk6ru800,en,Airbnb Host,Remote,,,https://indeed.com/cmp/Airbnb/reviews/great-work-hours-as-its-remote-and-self-employed?id=f60b6a4931a944ee,2024-05-22T00:00:00,Current Employee,0,0,0,0,0
Best career ever,"Best place to work . Flexible and fair with vacations comfortable office
Good compensation
Free food. Best co workers ever.Great management 
Not easy to be hired 
",5,1hthm8ektk7pb802,en,Safety Specialist,"Montréal, QC",,,https://indeed.com/cmp/Airbnb/reviews/best-career-ever?id=fe0087f91cddc5ed,2024-05-10T00:00:00,Former Employee,0,0,0,0,0
Ambiente top,"Ambiente muito top e colaborativo, carga horária e horários rotativos mas sempre a pensar no trabalhador e a tentar melhorar a vida do trabalhador. Objetivos assesiveis",5,1ht818t0ni9a4802,pt,Support ,"Porto, Distrito do Porto",,,https://indeed.com/cmp/Airbnb/reviews/ambiente-top?id=fb425fea28ed0e49,2024-05-06T00:00:00,Former Employee,0,0,0,0,0
I really enjoy cleaning airbnbs. I love getting feed backs from guests on how there stay was or even meeting guests. It’s always nice. ,"What is the best part of working at the company?
Making the place perfect for the guests and make sure they have everything they’ll need during their stay. 

What is the most stressful part about working at the company?
None to complain to be honest. 

What is the work environment and culture like at the company?
It’s only me there so it’s quiet and I just put my music on and start cleaning 

What is a typical day like for you at the company?
I go to work and just start on the laundry first and then get to my cleaning. I have easy going days. It’s rare that it goes bad.",5,1ht5v8uoak56b800,en,Housekeeper,"Delta, CO",,,https://indeed.com/cmp/Airbnb/reviews/i-really-enjoy-cleaning-airbnbs-i-love-getting-feed-backs-from-guests-on-how-there-stay-was-or-even-meeting-guests-it-s-always-nice?id=3f35cafbeabdad6f,2024-05-05T00:00:00,Current Employee,0,0,0,0,0
"It is not employees centric company, as they do not treat you as human.","What is the best part of working at the company?
Work from home, provide laptop to work 

What is the most stressful part about working at the company?
The company doesn’t treat a person well. If you are a managers pet the company is for you. 
When asking to leave, they say it on uour face that you are a virus, not treating as humans. 

What is the work environment and culture like at the company?
In start it is good, later on harsh reality 

What is a typical day like for you at the company?
Work and work, have to be an over achieving person",2,1ht5clb41j6f2800,en,Claims Specialist ,"Gurugram, Haryana",,,https://indeed.com/cmp/Airbnb/reviews/it-is-not-employees-centric-company-as-they-do-not-treat-you-as-human?id=e512bfd946fa4327,2024-05-05T00:00:00,Former Employee,0,0,0,0,0
Fun workplace,Nice place to work and good salary. Stress is not too much can be handled. Also good image of brand. Working hours is better than the most companies outside,5,1ht254s4li45c800,en,Sales,Turkey,,,https://indeed.com/cmp/Airbnb/reviews/fun-workplace?id=bb2db4557aec054d,2024-05-04T00:00:00,Former Employee,0,0,0,0,0
Overview,Great to work for. People are friendly in my team and the work i do is not too overwhelming of stressful. I like my manager and my teammate so i think i got lucky,3,1ht1vo5ack55u802,en,Hiring Coordinator,"Boston, MA",,,https://indeed.com/cmp/Airbnb/reviews/overview?id=1a6c1d05d0f417c0,2024-05-04T00:00:00,Current Employee,0,0,0,0,0
Fun and efficient team,It has been a very enjoyable experience working at Airbnb. The Beijing office is highly organized and efficient. Sad to see it exited China. Hope the outbound business is doing well.,5,1hsovho56i45c802,en,Junior operation specialist ,Beijing ,,,https://indeed.com/cmp/Airbnb/reviews/fun-and-efficient-team?id=a421992b2fad32ba,2024-04-30T00:00:00,Former Employee,0,0,0,0,0
Challenging ,A lot of up keep and investing but worth it once you get guest to book your place. Definitely not for someone who  has to spend to receive income because you have to make sure you can handle bills cleaning etc ,4,1hsb31dduimiu800,en,Host,USA ,,,https://indeed.com/cmp/Airbnb/reviews/challenging?id=1249f5b5dc6ae602,2024-04-25T00:00:00,Current Employee,0,0,0,0,0
Extremely productive and creative ideas with utmost professionalism and motivation to expand,Working here give me an idea of need tasks that come along with being a property manager as I was the assistant. This job included not only housekeeping but assisting and renovation ideas coordinating and follow through. Using my Public Relation skills to organize the perfect guest experience and gaining repeat clientele was enjoyable to me a I was given the ability to manage and put my ideas into action and see what results they brought in as far as Revenue and clientele building. This job along with assistant winemaker were very different than most of my jobs in the restaurant industry which gives me an abundance of experience and variety in different workplace cultures and job responsibilities. All of these jobs for the most part have allowed me to use my creativity quick mental reflexes and personable communication skills to bring to the table want many places need which is a hospital environment with the perfect customer service experience that client s will want to return to or Rave about in a review.,5,1hs5lqa5hkp2v802,en,Caregiver/Personal Assistant,"Denver, CO",No health benefits,Allowed me to use my creative skills and put them to use and see firsthand the results they bring in,https://indeed.com/cmp/Airbnb/reviews/extremely-productive-and-creative-ideas-with-utmost-professionalism-and-motivation-to-expand?id=3470698cea430673,2024-04-23T00:00:00,Current Employee,5,5,5,4,5
"great reliable source of income, renting out my five bedroom property to workers from out of town","What is the best part of working at the company?
Reliable income and great customers.

What is the most stressful part about working at the company?
Been fined for cancellation host fees 

What is the work environment and culture like at the company?
 Great company to work for . Very helpful

What is a typical day like for you at the company?
Busy but rewarding. Need good time management to get the place ready on time",5,1hs59fv5jja57800,en,Property Manager,"Palmerston North, Manawatu-Wanganui",,,https://indeed.com/cmp/Airbnb/reviews/great-reliable-source-of-income-renting-out-my-five-bedroom-property-to-workers-from-out-of-town?id=22fafe6892409c5d,2024-04-23T00:00:00,Current Employee,0,0,0,0,0
excelentes capacitadores,"Flujo alto de llamadas, sin embargo los capacitadores hacen lo mejor para el soporte, clientes en Estados Unidos   algo groseros. Cumplen con los beneficios de ley en Sutherland.  Remuneración sobre la media del pais",4,1hr815vifihld801,es,"Host, Support Ambassador","Bogotá, Cundinamarca",alta carga laboral,todas las garantias de ley,https://indeed.com/cmp/Airbnb/reviews/excelentes-capacitadores?id=e258732416bec5be,2024-04-11T00:00:00,Former Employee,3,4,5,4,4
Very bad for contractors ,"Airbnb have been hiring a lot of contractors during the peak seasons and then terminating the contract when they don’t need us anymore. The difference in treatment between the permanent employees and the contractors is huge. Contractors have very little or nothing of the benefits they provide to full time employees. Also they keep promising they will open permanent positions and if you are doing a good job you will probably get hired. All lies. It’s sad because I have done my best during my time working for them, represented my team in several presentations, made connections with my team, got a lot of compliments from my supervisor and still they ended my contract just because it’s how their business works.",2,1hqtoo3iqgb7i801,en,Customer Support - Safety,"Montréal, QC",,,https://indeed.com/cmp/Airbnb/reviews/very-bad-for-contractors?id=abc11635ad221930,2024-04-07T00:00:00,Former Employee,1,3,1,4,5
Great form of self-employment,"As long as you have respectful guests, there shouldn't' be any problems.  You can set your own hours that you work, and pretty much just manage any issues once you set it up.",5,1hq5tmusgis9r801,en,Host,"Bellaire, TX",,,https://indeed.com/cmp/Airbnb/reviews/great-form-of-self-employment?id=cf645e7fc7697403,2024-03-29T00:00:00,Current Employee,0,0,0,0,0
"Good company, work load was too much","Management did not appreciate the workers going above and beyond to get the job done , compensation was fair though. You had to be on call becauseof the nature of the job ",3,1hpjn1gigimho800,en,Housekeeper,"Spokane, WA",Had to be on call. Lack of communication by managment,Discounts,https://indeed.com/cmp/Airbnb/reviews/good-company-work-load-was-too-much?id=0d745a699f8c245b,2024-03-22T00:00:00,Former Employee,2,3,1,1,4
Shockingly disappointing I wish I had never signed on with them ,"What is the best part of working at the company?
Meeting new people from around the world 

What is the most stressful part about working at the company?
They think that they can think and speak for you better than you can yourself 

What is the work environment and culture like at the company?
Dealing with support is like pulling teeth 

What is a typical day like for you at the company?
Responding to inquiries, prepping listing and cleaning welcoming guests",1,1hoiicvrfip8t800,en,Bed & Breakfast Operator,"Toronto, ON",,,https://indeed.com/cmp/Airbnb/reviews/shockingly-disappointing-i-wish-i-had-never-signed-on-with-them?id=37a28e167effcbbe,2024-03-09T00:00:00,Former Employee,0,0,0,0,0
Very nice. Work when you want to and meet great people. ,"What is the best part of working at the company?
The people. The countries they are from and learning about them. 

What is the most stressful part about working at the company?
I was not stressed. It was fun. 

What is a typical day like for you at the company?
Meeting and greeting customers. Helping them to adjust and get comfortable  with their surroundings.",5,1hoeagp1akomn800,en,International Hosting,"Santa Clara County, CA",,,https://indeed.com/cmp/Airbnb/reviews/very-nice-work-when-you-want-to-and-meet-great-people?id=2ab772d38f6c6e7f,2024-03-08T00:00:00,Former Employee,0,0,0,0,0
Its great ro be a ahrbnb host,"What is the best part of working at the company?
Airbnb looks out for both their owners and guest and do what ever it takes to be fair as they can to everyone one involved

What is the most stressful part about working at the company?
Getting bookings and filling up your calendar

What is the work environment and culture like at the company?
Work from home alone bit customer imteraction good

What is a typical day like for you at the company?
Talking with customers answering questions negotiating pricing",5,1hnhmf98fjm5i801,en,Airbnb Host,"Winter Haven, FL",,,https://indeed.com/cmp/Airbnb/reviews/its-great-ro-be-a-ahrbnb-host?id=fb18fe09850d9ace,2024-02-25T00:00:00,Current Employee,0,0,0,0,0
"As a host, flexible and fun","Good passive incomes when things go right, but when they don't It's terrible. When there are bookings then It's nice and busy, productive, when there Isn't there was not much to do.",4,1hngqgucgjtdf802,en,Host,"Tucson, AZ",,,https://indeed.com/cmp/Airbnb/reviews/as-a-host-flexible-and-fun?id=a6a40fd106912c72,2024-02-25T00:00:00,Current Employee,0,0,0,0,0
As an ABNB host and manager i loved meeting people of all cultures it was a true adventure ,It’s a job done on line. Log in and reply to booking inquires. Learned that all people are capable of kindness  and humility. It was fascinating for me to actually meet the person booking the room from over seas in person and serve their needs in person in a personal way. I got the full Experience of being a full ABNB hostess. I loved meeting everyone it was my honor. ,4,1hn3jvlj5k54h801,en,Host,"Huntington Beach, CA",On the clock 24/7,The position the rank the value and image,https://indeed.com/cmp/Airbnb/reviews/as-an-abnb-host-and-manager-i-loved-meeting-people-of-all-cultures-it-was-a-true-adventure?id=231310dc601626ff,2024-02-20T00:00:00,Former Employee,3,1,2,3,3
Never a dull moment always being on top of everything ,"What is the best part of working at the company?
Meeting new people and learning how to someday run my own

What is the most stressful part about working at the company?
Guests having problems while they stay drinking problems

What is the work environment and culture like at the company?
Mostly positive happy some down time 

What is a typical day like for you at the company?
Housekeeping and greeting guests",5,1hmuiqu2v2gku001,en,Host/grounds worker ,"Clifton, CO",,,https://indeed.com/cmp/Airbnb/reviews/never-a-dull-moment-always-being-on-top-of-everything?id=2736eb996d0eb8e9,2024-02-18T00:00:00,Former Employee,0,0,0,0,0
Cansado ,"Es limpiar casas o departamentos
Realmente cansado ",5,1hmaavaec25ap001,es,auxiliar de limpieza,"Zihuatanejo, Gro.",,,https://indeed.com/cmp/Airbnb/reviews/cansado?id=c3da503d5b90bf4a,2024-02-10T00:00:00,Former Employee,5,5,5,5,5
Great experience,Great experience learned a lot defamatory recommend working here great time lovely people so fun awesome palce to work at would work again made so many connections,5,1hm32qvi9m6pd800,en,Assistant,California,,,https://indeed.com/cmp/Airbnb/reviews/great-experience?id=36a4e961ad365636,2024-02-07T00:00:00,Former Employee,0,0,0,0,0
Very eventful all round ,"What is the best part of working at the company?
Got to meet alot of good people and I love cleaning so it was a win win for me..

What is the most stressful part about working at the company?
People would be so unkept at time was unbearable cleaning but still pushed threw n did it...



What is the work environment and culture like at the company?
Unique and fun but overwhelming as well from time to time...



What is a typical day like for you at the company?
Well I was a cleaner and was on average day cleaning anywhere from five properties once  a day up to 22 properties so very long days",4,1hlkjsdo5gagj800,en,House Cleaner,"Winnipeg, MB",,,https://indeed.com/cmp/Airbnb/reviews/very-eventful-all-round?id=538a27780657ebad,2024-02-02T00:00:00,Former Employee,0,0,0,0,0
Friendly,They are friendly and give a pay raise. Treat you well and you can work from home. Amazing workplace and colleagues are really helpful and they would help you any time. ,4,1hlgo02kl2cpi000,en,Sales Attendant,"London, Greater London",,,https://indeed.com/cmp/Airbnb/reviews/friendly?id=366bcc96ac26d6fb,2024-01-31T00:00:00,Current Employee,0,0,0,0,0
Great! Love insurance and support,The team is always holding your back as a host. Payment is always on time and the insurance cover is amazing. Nothing to compare about being a Booking host. Airbnb is amazing.,5,1hkut7psgjm7i800,en,Host,"Orlando, FL",,,https://indeed.com/cmp/Airbnb/reviews/great-love-insurance-and-support?id=8028137ad404c475,2024-01-24T00:00:00,Current Employee,0,0,0,0,0
"Toxic, sanctimonious culture","Worst culture I've ever experienced. The ""core values"" are just for show. Leadership tolerates bad/discriminatory behavior from top performers and then just pays out the victims when they sue.",1,1hko42atqltdc800,en,Product Manager,San Francisco,,,https://indeed.com/cmp/Airbnb/reviews/toxic-sanctimonious-culture?id=5de4509543b2b621,2024-01-22T00:00:00,Current Employee,0,0,0,0,0
Well paid experience in a quasi start-up environment but little room for advancement,"What is the best part of working at the company?
Intelligent, creative and dedicated people. 

What is the most stressful part about working at the company?
The group I was in cultivated an environment of stress and chaos. 

What is the work environment and culture like at the company?
Not great for the group I worked in. Overall at the company there is a decided bias against older workers.",3,1hkd0236q2gkj000,en,Marketing Content Writer - Contract,"San Francisco, CA",,,https://indeed.com/cmp/Airbnb/reviews/well-paid-experience-in-a-quasi-start-up-environment-but-little-room-for-advancement?id=07e60f1aab14585a,2024-01-17T00:00:00,Former Employee,0,0,0,0,0
Great communication,"Great communication very nice to work for owner of property. Very understanding, good schedule, pays on time and always available to communicate when there are questions.",5,1hjvmoog5kon5800,en,Property Manager,"Santa Ana, CA",,,https://indeed.com/cmp/Airbnb/reviews/great-communication?id=023e2dd3b8400013,2024-01-12T00:00:00,Former Employee,0,0,0,0,0
Host/ property manager,Property manager can be a rewarding job. With the correct team it can be very easy. Otherwise it can be a nightmare if you do not have the essential crew of ,5,1hjq143vsjrop800,en,Host,Puerto Rico,,,https://indeed.com/cmp/Airbnb/reviews/host-property-manager?id=37f0cc4a2a9b927c,2024-01-10T00:00:00,Current Employee,0,0,0,0,0
Fun Workplace ,"Great place to work. Always meeting new people, and changing up the stay environment. One aspect that is nice is the self checkin, and self checkout. ",5,1hjntdr0ikmcn800,en,Property Manager,"Corvallis, OR",,,https://indeed.com/cmp/Airbnb/reviews/fun-workplace?id=30da29bf92824483,2024-01-09T00:00:00,Current Employee,0,0,0,0,0
Good for first job,"It was a good job. You choose your shifts but normally you have a set of apartments to clean.

I would recommend as a first job because you can learn a lot.",4,1hjfc0ls4jb7g800,en,Cleaner (Casual),Salisbury SA,,,https://indeed.com/cmp/Airbnb/reviews/good-for-first-job?id=c0590a3ede268c31,2024-01-06T00:00:00,Former Employee,0,0,0,0,0
Own business,"Running a short term rental business can be very stressful, guest may call you in the middle of the night to request something. And there is a lot of do and don'ts.",4,1hjdtm705i6m1801,en,Business/Property Manager & Partner,"Toronto, ON",,,https://indeed.com/cmp/Airbnb/reviews/own-business?id=5fc5bd335d1e8fcd,2024-01-05T00:00:00,Former Employee,2,4,2,4,3
"Cultural, gratyful","What is the best part of working at the company?
Host , receiving  people all over the world 
Sharing experiences and   Activities, love, cultures

What is the most stressful part about working at the company?
Scammers ,  bad people.
Cancelations last minutes",5,1hiuourtlima8800,en,Host,"Orlando, FL",,,https://indeed.com/cmp/Airbnb/reviews/cultural-gratyful?id=a20fbbb7b608c63a,2023-12-30T00:00:00,Current Employee,0,0,0,0,0
Eccellente ,"Quali sono gli aspetti migliori del tuo ruolo presso lazienda?
Mi piace moltissimo lavorare come host di airbnb, a Ostuni vengono persone da tutto il mondo e il servizio funziona molto bene 

Quali sono gli aspetti più stressanti del ruolo presso lazienda?
La gestione degli ospiti non è sempre facile per problematiche varie che possono presentarsi 

Come sono lambiente e la cultura lavorativi presso lazienda?
Molto buoni, la community di host è di grande supporto 

Come si svolge una tua tipica giornata lavorativa presso lazienda?
Rispondere alle e- mail contattare il co host per la pulizia e la preparazione degli appartamenti , organizzare check in check out",5,1hip3rteujkkj801,it,host,"Ostuni, Puglia",,,https://indeed.com/cmp/Airbnb/reviews/eccellente?id=df7f03c7c5a1873e,2023-12-28T00:00:00,Current Employee,0,0,0,0,0
Horrible company,Company is horrible.   Pay is great but experience with company is absolutely horrible.  To many employees don't care about their job.  Needs a complete overhaul in every department.  ,1,1hinqi8o028uh000,en,Cleaner,Arkansas,,,https://indeed.com/cmp/Airbnb/reviews/horrible-company?id=07a1a85c29dc41aa,2023-12-28T00:00:00,Former Employee,0,0,0,0,0
Profitable,Enjoyable work with excellent support from the company. I mentor new hosts for success. I highly recommend short term rental work in the metro Detroit area.,4,1hiejgctoi3au800,en,Ambassador,"Royal Oak, MI",,,https://indeed.com/cmp/Airbnb/reviews/profitable?id=47d5b9da7c920150,2023-12-24T00:00:00,Current Employee,0,0,0,0,0
good ,its a good place to host and makes money more than other rentals. the guests can be obnoxious but not all the time. its good you cantata their deposits if the damage your stuff,4,1hhpnlllgh20r801,en,Host,"San Diego, CA",,,https://indeed.com/cmp/Airbnb/reviews/good?id=66aa8840b008f465,2023-12-16T00:00:00,Former Employee,0,0,0,0,0
Draining and no raise,Working here feels very miserable. There’s no pay raises and the customers are very rude and expect you to do things beyond your pay. No tips and it’s very boring and draining working here.,1,1hhg3o6k72469000,en,Housekeeper,"Huntington Beach, CA",,,https://indeed.com/cmp/Airbnb/reviews/draining-and-no-raise?id=d77fc335a1ff2837,2023-12-12T00:00:00,Current Employee,0,0,0,0,0
Stressful,"Not a good project , u will be micro managing if u did mistake , even u are a newbiew u might get warning letter there is no chance for u to appeal. The policy always changing from time to time.",3,1hhbcuaaih0rs800,en,Customer service specialist ,Bangsar,,,https://indeed.com/cmp/Airbnb/reviews/stressful?id=ad9bd2cf7c252554,2023-12-10T00:00:00,Current Employee,0,0,0,0,0
Host saturation,building brand with more host and less support. That growth now has host over saturation and quality of filtering guest going down. Its not as passive in income as those might believe. ,3,1hhalc441irkh800,en,CSC,"Clearwater, FL",,,https://indeed.com/cmp/Airbnb/reviews/host-saturation?id=fcfe464626e4ad88,2023-12-10T00:00:00,Former Employee,0,0,0,0,0
Schlimmster Job,"Es wurden nach 2 Wochen bereits neue Mitarbeiter gekündigt, alle waren sehr unfreundlich und inkompetent, man wurde dort sogar beleidigt und die vorgesetzten haben nicht mal dann etwas unternommen.
Wirklich der schlimmste Arbeitgeber den ich je hatte ich würde niemandem jemals empfehlen dort zu arbeiten. ",1,1hh1m5pk4jtvd801,de,Customer Service,Home Office,,,https://indeed.com/cmp/Airbnb/reviews/schlimmster-job?id=f3e8eb49daf1c9dc,2023-12-07T00:00:00,Former Employee,1,1,1,1,1
"Work Culture was world class before pandemic, now it's above average","Having spent a lot of time at Airbnb I can say that it isn't the place to work that it once was. That being said, I'd still choose it above almost anywhere else - most aspects of the company are something I continue to seek in my employers.",5,1hgu3jli9i5f6800,en,Trust and Safety Program Manager,Remote,,,https://indeed.com/cmp/Airbnb/reviews/work-culture-was-world-class-before-pandemic-now-it-s-above-average?id=82703a7344b4f3f7,2023-12-05T00:00:00,Former Employee,0,0,0,0,0
Amazing place to work before the pandemic,Worked there and was laid off during the pandemic. Still my favorite company to work for. The remote work culture has only strengthened since then. Obviously recommend!,5,1hga2jjq1g0lk800,en,Contractor - Analyst,"San Francisco, CA",,,https://indeed.com/cmp/Airbnb/reviews/amazing-place-to-work-before-the-pandemic?id=b09275d035c75e01,2023-11-27T00:00:00,Former Employee,0,0,0,0,0
Ehhh,"Working for the company was great, it was a good work life balance, but the pay was trash. I would’ve literally had to work 80 hours a week just to survive in Denver! Some companies will use an abuse you until you just can’t take it anymore mentally and Airbnb is one of those companies unfortunately. ",3,1hf8dv8m6iocn800,en,Fraud Analyst,"Denver, CO",,,https://indeed.com/cmp/Airbnb/reviews/ehhh?id=3e920166dc6cc57c,2023-11-14T00:00:00,Former Employee,0,0,0,0,0
Lots of opportunity and flexibility,It’s great working with Airbnb as you can use the platform to organise your bookings and they offer great incentives to do well but you still have lots of flexibility and can work from home. ,5,1hf6uar6bkcor800,en,Host,Hermanus ,,,https://indeed.com/cmp/Airbnb/reviews/lots-of-opportunity-and-flexibility?id=7972d7a74d8558ac,2023-11-14T00:00:00,Current Employee,0,0,0,0,0
