,id,title,text,final_sentiment
20,89018854,Great place to work!!,"Great team.
Technical exposure to latest tech stack.
Good leave policy.Might need to work on old tech stack for some duration.",pos
21,88958178,Good,Good benefits. Overall very Positive experience.Shrinking sector of economy. Long term view not ideal.,pos
22,88801533,Ok,It pays fairly well enoughIt can be a bit boring,neg
23,88510066,Great place to work,"Good company culture, strong mentorship program, great benefitslet go because of the pandemic",pos
24,88339500,Not what I expected.,Decent Benefits and dei initiatives.Old school sales mindset with below average products. No travel. Cold.,neg
25,88304538,Great company to learn and grow in,"Fast paced, lots to learn, good peopleSlow promotion process which can be unmotivating.",pos
26,87782508,Great place to work,"Great product and brand - smart peopleUS-centric, hard to make an impact outside of US",neg
27,87669173,decent experience,benefits are more or less like in other companiesnot many opportunities to grow,pos
28,87569799,Nice environment but dull company,"Nice people, amazing benefits. Humane managementNo career progression; disappointing product development",neg
29,87560218,Good,A nice place to workWork overtime but still get paid,pos
30,87292689,Toxic Management,Great insurance benefits and central office locationManagers didn't care about people but only results. They set ridiculous target without listening to staff. They ignore employees' mental health and keep pushing people to sell in a blinded way,neg
31,87290329,Title of your review,"Feeling like they're good at the job
Working as a team
Feeling valued
Having a positive atmosphere
Meeting new people
Being creativeDifficult to balance your personal life. Full-time employment can be rigorous, requiring your full commitment for most of the week (normally 40 hours from 9 am to 5 pm). ...
More prone to work-related stress. ...
Could make you more risk-averse. ...",neg
32,87188378,Brilliant place to work and grow,"Learnt a lot, great peers
100% autonomy100% remote in India, distributed teams",pos
33,87076502,Ok for learn,Can learn can learn fastNot too good for skill build,pos
34,87004420,"Pay reasonable, but no strategic vision","Good people, benefits, some interesting workMassive legacy stack, cost cutting, rumors of take private",neg
35,86666482,Good,"Working from home, hybrid workingLong hours,
Long hours, 
Long hours,",neg
36,86634649,Recognisable brand but slow to react,Loyal employer with lots of ambitious peopleSlow to react and hard to get promoted,neg
37,86416751,Good,Great people and offices globally.Not much room for growth,pos
38,86336908,Great place to work but disjointed senior leaders with distracting politics,"Tripadvisor's new strategy and focus is refreshing for the business. There are great initiatives that are placing Tripadvisor in the forefront of travel and technology that will give travelers great reason to use its platform.

People are generally excellent to work with and are highly qualified. A lot of superb product managers, engineers, data science, and analysts across the business.Senior leaders struggle to work together and the undercurrent of politics is really distracting at that level. Feels difficult to work together across functions sometimes, with passive aggressive culture of ""pointing fingers"".",pos
39,86143783,Experiencia positiva con guidance del management excelente,"Benefits Doable Targets Coaching Uncapped Bonus Work EnvironmentCambios repentinos
continous asking for more performance even when at 100% of target",neg
40,86143783,Experiencia positiva con guidance del management excelente,"Benefits Doable Targets Coaching Uncapped Bonus Work EnvironmentCambios repentinos
continous asking for more performance even when at 100% of target",neg
41,85956895,Mostly a good company,People are what make tripadvisorA bit of politics and change of strategy a bit too often,neg
42,85921637,Good for a period,"great people, remote work and good environmentnot clear about performance and not clear feedbacks",pos
43,85889719,ok company,nice people to work withOur brand is weakening amongst consumers,pos
44,85732932,Great Global Collaboration,"Brilliant colleagues and managers that encourage growth and development. Competitive benefits like annual leave are great after a certain tenure, and some remote work flexibility is a plus.A newer executive team is still finding their footing and should be more visible across the company. Reorganization happens often, and frequently changing objectives can be difficult to execute. Salary is not very competitive.",neg
45,85401752,Great place to work,Amazing place to work. Very niceNo cons was all great,pos
46,85397410,,"People were nice, free lunch.Horrible pay, you're just a cog in the machine",pos
47,85357481,Great but outdated,"Great benefits, great team and people to work with.
Work life balanceCompany with outdated products. There was alot changes in management and keep changing focus.",pos
48,85218156,Great Place to work,"Great culture, atmosphere and good benefits. Stock, bonus...etcLots of planning meetings, leaving less time for delivery",pos
49,85166907,Good,Good workplace environment and good relationships with othersBad management and bad leadership,neg
50,85110231,Closing off Sydney office,"People are friendly and helpfulNo more operating, work shifted away",pos
51,85109822,Benefits leave to be desired,"- excellent team
- ok benefits
- great health insurance- corporate bs/lingo off the charts
- incompetent middle management
- murky bonus system",neg
52,84969963,Overall good,"- Brand name 
- Culture
- Flexibility- Products
- Leadership
- Processes",neg
53,84919807,Awesome place to work at,"Great people/management, overall awesome organization overallNo concerns, I didn't work in a better place yet",pos
54,84831134,a lot of uncertainty,"Great company culture, very helpful colleagues, a lot of ERG initiatives.A lot of uncertainty about company future and where it was going. There was plenty of talk and money spent on shaping new strategy yet if you asked random employees hardly anyone was able to tell you what that strategy actually was. That led to halt on recruitment and progression oportunities.",neg
55,84568563,Digital marketing,"Creative, great teamwork, lots of responsibilitySomewhat lack of guidance for newbies",pos
56,84433145,Great company,Really a great company for travel usersNo such things as cons,pos
57,84399436,Viator dev in Sydney (before it's gone),"* Developer friendly and flexible environment. Pays well and takes care of employees.
* Most colleagues are very good, hard working, fun and easy to work with. Had a good family like work life there.
* Follows latest technologies. Enjoyable projects. Can learn a lot.* Unfortunately, the entire Sydney product development was moved to Europe, with funny and unconvincing time zone excuse, even though Sydney team created the whole thing, did such wonderful and critical work.
* Sydney executive management was not strong enough to retain Sydney teams.
* Conflict direction between Tripadvisor and Viator.
* Tripadvisor stock option was a trap!",pos
58,84244785,Enjoyed my time,"Very cool office, collaborative team to work withCould have some improvements on the products offered",pos
59,84143285,Good company,They work hard to keep employees happyTravel industry has lots of ups and downs,neg
60,84143285,Good company,They work hard to keep employees happyTravel industry has lots of ups and downs,neg
61,84088936,It was okay,Pay and free food were goodIt was just a bit boring,neg
62,84067333,Layoffs are common,"It is a great company to work for until they lay you off without cause or reason.They are constantly reshuffling the deck, and layoffs are frequent.",neg
63,84055442,A shadow of the Past with good benefits for managers,Great Benefits and culture in generalLack of strategy and innovation in product areas. The company ended up doing a massive layoff in BCN last year,neg
64,83992025,Good,"Culture, perks, people, and othersJust as any company with shareholders I feel stolen",neg
65,83716036,Great culture and people,"Flexibilty, great people culture (subject to dep and manager), internal ladder for growthSlow to action changes, to open internal roles, slow in recruitment. Salary can be lower than industry standard in tech/media. Negotiating salary increase can be a frustrating experience.",neg
66,83679408,Ok short term employment,"Almost 100% remote work, you can form close relationships with your team, summer flex time in addition to PTO.Managers don't know how to manage and have no training before being promoted, not a lot of room for growth, they will have mass layoffs just to rehire all the positions months later, either you will be overworked or have nothing to do, the executive team and new CEO are unrealistic and bringing teams down.",neg
67,83461666,Am,"Good experience 
Recomiendo
Multicultural
Training in the companyCommunication is not very good",pos
68,83406774,good benefits,"Good benefits, good environment, flexibilityLack of transparency, poor salaries",pos
69,83247068,Great benefits and smart leaders,"Healthcare, insurance and lifestyle benefits are really generous. Leaders are smartThe company is constantly undergoing change with multiple changes in organization structure",neg
70,83232036,A Regrettable Experience at Tripadvisor,"Lifestyle benefit is a nice perk as well as the company shut down week between Christmas and New Years.I joined Tripadvisor with high hopes and enthusiasm, believing it would be a stepping stone for my career growth. However, my time at the company turned out to be the biggest regret of my professional life.

The company's primary focus appears to be solely on revenue, with little regard for the well-being of its employees or the satisfaction of its customers. The lack of value placed on both internal and external stakeholders is evident in every aspect of the organization.

One of the most glaring issues is the disorganized structure of the company. The communication and updates are shockingly poor, leaving employees in the dark about crucial information. Teams seem to lack passion for the business, resulting in a noticeable lack of desire to excel in their daily tasks.

The leadership team, unfortunately, is both inexperienced and unorganized. Their approach is not only tone-deaf but also sloppy, leaving employees feeling unsupported and undervalued. A striking example of this is the insistence on full-time office attendance while leaders enjoy vacations in exotic locations such as the Bahamas, joining meetings remotely. This stark contrast in expectations and actions highlights the lack of empathy and understanding within the leadership team.

Communication breakdowns are rampant, with emails frequently ignored, and political games playing a significant role in day-to-day operations. This creates an unhealthy work environment, contributing to the overall dissatisfaction among employees.

The benefits package provided by Tripadvisor is severely lacking, causing numerous headaches and troubleshooting efforts. There is a palpable lack of trust in how commissions are calculated and paid out, further eroding confidence in the company's transparency and fairness. In addition their were hidden cliffs with in 401k and RSU options. The limited support given to teams and customers alike underscores the company's lack of commitment to their well-being.

In conclusion, my experience at Tripadvisor has been nothing short of disappointing. This move, which I had initially looked forward to the most in my career, turned out to be a profound letdown. I strongly caution anyone considering employment with or engaging in business with Tripadvisor to think twice. The company's prioritization of revenue over its people and customers, combined with its organizational and leadership issues, make it an undesirable place to work or collaborate with.",neg
71,83033786,Good,"good WLB
good team
many benefitsnot working on such advanced technologies",pos
72,83011930,Culture wonderful at TripAdvisor!,"Hard working, fun, and kind colleagues! Incredible free lunch every day. Job security and opportunities to grow your career.Some of my friends left the company because they weren’t given raises they felt they deserved.",pos
73,82732582,Great place to work,"Great culture, interesting work, smart and supportive peopleLow salaries as compared to the market",pos
74,82713576,Loved this place,"Benefits, people, working hours and free showsFor me, I did not see any cons, like every else do your job and all is fine",pos
75,82611849,"Traditional workplace that doesn't feel ""tech"" as they claim","Good ERG initiatives; people are generally nice and passionate about what they doTools and mindsets feel traditional. Some examples:
- Poor documentation, poor agility, poor project management in my org (ever moving goal posts where I receive little support in accomplishing in the first place, while my work was also simultaneously made non-transferrable because of lack of rituals to give team mates visibility to each other's work)
- This company is still using Outlook in 2023 but all the work is done on Google Workspace
- Person at the top of my reporting chain insists on using PowerPoint and no Google Slides because they don't like the latter
- I was told that my department doesn't have budget to give me a Macbook but people more senior in the department have it just because they are more senior
- Lack of proper communication on managerial changes due to what it seems like a systemic communication issue (manager answering to a question I initiated in my 1:1 with the fact that my manager was being changed effectively that day, without any prior communication)",neg
76,82356973,"Good travel benefits, needs more vision",Great people to work withUnclear strategic direction as a company,pos
77,82301740,Recent Layoffs,"Very good onboarding training, people are really great overall, culture and nice benefits.Base salary is low, you can feel a lot of pressure to hit your sales numbers, and company has been in constant change.",pos
78,82156680,Was a great company before......,Great travel and other benefits. Great team members.Reorg after reorg and layoffs a plenty. The overall DNA and care of employees has pretty much gone out the window.,pos
79,82156083,Great company to work for!,"People, work/life balance, benefits, flexibility, travel.Career progression, very hard to get promoted,",neg
80,82002525,Good work life balance and benefits,"- Interesting projects
- Great benefits and good work life balanceThe strategy has been very unclear since a few years ago, but it's improving",pos
81,81965139,Great place to work - not very innovative,"Fun company culture, great office environmentLack of company strategy and innovation, too focused on minor improvements",pos
82,81825359,Trip advisor,Nice environment and culture plus sport and health benefitsSales role similar to customer service,neg
83,81823249,Great place to work,Benefits Possibilty to work from home/remote Formation FlexibilityChanges difficult to adapt Rotation,neg
84,81822988,Amazing Place to Work!,It was such a pleasure to work at Triapdvisor. Expectations are realistic. People are invested and engaged and the perks are fantastic. Manager was awesome. Highly recommended.None really come to mind.,pos
85,81779351,Great place to work,nice people who really care about what they dohonestly not much to say here,pos
86,81613876,Great stop in your career,The people are hard working and innovativeHierarchical and doesn't invest in their people which blocks innovation,neg
87,81577425,Too many Negatives,Interesting professional issues Work/life balanceStagnant and unmotivated leaders Reluctants to change,neg
88,81511774,Working at TA,International and diverse environment Opportunities to growI did not have any bad experience while working at TA,neg
89,81503901,Great place to work,Flexible working from home Work anywhereLong hours and outdated processes,neg
90,81503901,Great place to work,Flexible working from home Work anywhereLong hours and outdated processes,neg
91,81488240,A place to gain experience and leave!,"- Good benefits. - Good name to have on the CV. - Competitive salary- Poor culture - No real career development opportunities - Confusing strategy, they don't seem to know what they are doing, most of the time they are running tests with different projects with little thought about the money they are wasting, while not investing in the right places.",neg
92,81451829,Overall good experience,"Great atmosphere Openess Networking opportunitiesToo many changes too fast, they can’t keep up. Mid-Management lack management skills Business Competition",pos
93,81451435,Great Culture,"The culture is great. Very collaborative environment, respectful and the HR team is supportive. Work life balance and flexibility are super helpful for working parents. There is a lot of flexibility towards remote work and there are options for temporary relocations. My experience was very positive.Lack of transparency about compensation. Annual review process could be improved.",pos
94,81420153,Business Development,The team is amazing and are always willing to helpI personally did not have a negative experience,neg
95,81403970,Friendly and flexible work environment,The work environment is pretty friendly and flexible.Long process to deliver a something new,neg
96,81159221,Ok,Hybrid Staff friendly Tuesday treat Work life balanceMicromanage Too many software to measure efficiency,pos
97,81017196,Great Company Culture,amazing people and an incredible officeUnstable work environment due to layoffs,pos
98,81010632,Great people to work with,Amazing atmosphere and nice work ambientVery disorganized on the level of implementation and not very transparent for the future of the company,pos
99,81007110,Company is okay,Pretty good salary and benefitThe work load is kindda enormous,pos
100,81007110,Company is okay,Pretty good salary and benefitThe work load is kindda enormous,pos
101,80967909,Poor Management on Retrenchment,"The best people and culture. Comprehensive insurance for staff, spouse and dependents.Average salary - hardly in accordance to market. Everything is being ran based out of the US office. The units in EMEA and APAC are not independently managed. Leaders are short-sighted. Preaches about transparency but there were hardly any transparencies.",neg
102,80921598,Great company,"- Values innovation - Great teamWorkload can sometimes be demanding, there can be a bit of a traditional sales culture",pos
103,80697714,Associate Editor,"interesting people and hybrid scheduletoo many meetings, not very diverse, very behind the times",neg
104,80641777,un-well management stratergy,"good benefits for employees and family members.un-clear management plan, no plan for career development",pos
105,80585029,Just an average employer,Excellent benefits 1. Best-in-class health insurance 2. Lifestyle benefit1. The product needs to evolve. It's age old and needs so much more innovation! 2. Teams work in silos - there needs to be greater collaboration  3. Lack of customer centricity - There needs to be more focus on key geographies. 4. Leadership could be more forthcoming to employees - Very little interaction with employees except the occasional townhall with one way communication. 5. Slow career progression,neg
106,80557436,STRESSFUL,"Benefits are good, colleagues are friendly.The work is too stressful.",pos
107,80526793,Great,Great people in the companyNone I had a great time there,pos
108,80435973,Great place to work!,"Great engineering culture, opportunity to growNothing comes to mind, good place",pos
109,80433181,No room for growth,Nice break room Office with cubiclesNo growth Unrealistic goals Hard to keep up with their sled demands,neg
110,80395312,Scrum master exp,-work life balance -great culture -opportunities to explore and expand your knowledge-didn't have any during my tenure,pos
111,80374797,I will miss TA,Very good culture &amp; friendly colleagues.Need to work on their product.,pos
112,80170123,Good Company Overall,"I really enjoyed the benefits, compensation was respectable, and the people on my team were wonderful (some of the best I've had the privilege of working alongside in my corporate career).Sometimes it felt as though leadership lacked vision (not necessarily the company leadership, but the area that I worked in) and the appropriate appetite for risk to enable a culture of innovation. There seemed to be a misalignment in priorities between focus areas and leadership often causing for excessive pivoting or work once deemed critical to be shelved. Once they tighten up the vision and take an unwavering approach to product development the sky is the limit.",pos
113,80162343,to much pressure,"good bonus if you sell. good benefits.American company, doesnt care about HOW you sell, they only look at numbers. Be prepared of being fired any time.",pos
114,80156842,"Great people, not so great product",Amazing people to work with Good benefits on top of your pay packageProducts need a massive improvement to stay relevant in the current market,pos
115,80019530,"terrible new ""executive leadership team""","the people, bonus is great, office location is goodwe got told in a 3 minute ""meeting"" we were being made redundant. the new management have really destroyed this company. TripAdvisor is such a hard sell now, I don't have a happy customer.",neg
116,79985470,It's aight,Pay is good and team is great to work withDeadline planning could be better,pos
117,79783425,Decent Pay but needs more Organization,"Good pay, nice people, WFH flexibility, fun products to work on. Nice benefits.Too many people in leadership are hesitant to make decisions quickly and effectively. Many teams are siloed which makes it hard to feel there is a strong, uniformed sense of culture. Their long term strategy is unclear, even though employees are proactively seeking directly, leadership is not able to answer those questions",pos
118,79768121,Can't be great place. Sometimes too stressful but still liked working there,Liked working there. Everyone is nice. Job can be fun. Pay is well. Company does care.Sometimes can be stressful especially if you are the only one in the team working on a weekend.,pos
119,79714702,4 stars,Learning lots of skills for the futureThe Salary is too low,neg
120,79650253,"Good company, low innovation","Lovely company, healthy working environment, good benefits. You will enjoy working here!Low innovation and lots of old timers who aren't the most forward-thinking. Lack of vision.",pos
121,79605903,alright...,Good benefits and great working environment.Management has too many changes and they do have time to time lay off happening.,pos
122,79585148,good,good compensation . .. .too much turnover . . .,pos
123,79340883,"Good company, Great people","Benefits are really good. The perks of the office are also great...the headquarters is an amazing building with great offerings to give employees a good level of comfort. The people within the organization are truly what make it a great place, you learn from so many different people and always feel welcomed, even during/after a pandemic.I think the company's values are kind of vague or generic and with new leadership, it's kind of a critical time to truly re-establish what direction things will go in. Not my experience directly but also it seems to be encouraged to work harder with limited resources over coming up with more solutions and the effects of that can be seen in re-orgs, layoffs, and teams generally being limited in resources.",neg
124,79229659,Love it here,Fantastic place to work :)Work life balance can be tough sometimes,neg
125,79065554,Great,"Leadership commitment to ERGs, flexible work schedule, good pay.Moves too quickly at times",pos
126,79003852,Good Company,Benefits Autonomy Being able to speak to upper level management anytimeCompany and market headwinds are causing a lot of uncertainty about the future,neg
127,78993243,No innovation,The company Culture is goodNo innovation of product and services offered to Clients No career progression No full remote work,neg
128,78863410,Wasn't the old good Tripadvisor anymore,"The company still have good legacy and inclusive culture. People work with you are very nice and you don't have much pressure. Some working object are super cool.The new leadership team are brutal machines, they brought a lot political stuff into the company and the whole atmosphere are changing top-down.",neg
129,78798928,Great company,Great company / generous payWork Schedule varies monthly / inconsistent,pos
130,78739959,It is very good,"The pay is good, I'm satifiedTech is not very good",pos
131,78650998,Stressful environment,"Great people, great benefits, very good locationVery stressful and management is micromanaging a lot around daily calls, reports, hoteliers do not trust this platform any longer which makes it difficult to sell the marketing tools",pos
132,78574692,Great Place to Work at,Understanding managers Excellent benefits Clear understanding of career path and goals Positive work environmentNot much I can think of,pos
133,78360567,Nice to work at,"Positive environment, good compensation package.Not many promotion opportunities from Senior up.",pos
134,78111327,Good Company Overall,Flexible Work Schedule. Fully remote for most employees not near the Needham office.Too many meetings. Had check in calls every morning that were redundant.,neg
135,78066307,Review,Great work culture and team buildingIt is remote work and less exposure,pos
136,78047076,Hard worker,To help people out okNothing at all its good,neg
137,77837705,Absolute Joke,Great Tech Great work / life balance in most BUs Above average pay Bonus People in TAPs BU (bar American management globally)Outdated business model - barely anyone under 40s uses the site let alone leaves reviews. New CEO hired a well known external consultancy at a huge cost and output was to be a 'mobile first' company. Senior management in certain BU are more interested in rewarding personal friendships then doing whats right for the business. Business pretends to be have a global approach but in reality is a US driven business that applies the same strategy globally. Text book US company behaviour.,neg
138,77805505,Great company to work for,"-Fantastic office (Needham, MA) -Hybrid work model -Free, high quality in-office lunch (hot and cold) -Great people to work with -Solid leadership -Good brand-Recent layoffs -Not competitive in certain markets -Some disorganization in the division I worked in (restaurants) -Training was absolutely abysmal",neg
139,77765627,goood,"good salary benefits food peoplea lot of pressure , firing if not achieving",pos
140,77734716,Period of Change,"Overall good work environment, pay and opportunity for advancement.Ever changing priorities and reorgs, which can lead to burn out.",pos
141,77711343,Toxic workplace,"Working with some of the smartest people in the tech business. Fast paced environment and delivering results. Great offices, equipment and comp package.US centric. Toxic culture and emotional bullying (during COVID / recovery in some departments), high pressure (a pro for some), some unsociable working hours to keep in the loop and participate in east / west US coast meetings.",neg
142,77675199,Far from being a good place to work,"Good perks such as meal card, wellness, health insurance and great atmosphere between same team membersAwful management, low transparency when they claim transparency to be one of the their values. Business development executives fighting against customer success executives and vice-versa.",pos
143,77651357,ok,"flexibility, salary, international teams, free lunchespoor management, politics everywhere, poor strategic decisions, bureaucracy",neg
144,77646281,Great place to work,"Great place with great people, management prepared and ready to ramp you up. Great benefits.Speed wins sometimes difficult to follow",pos
145,77619744,Best company,Best company I have worked inI have nothing bad to say about his company,neg
146,77506134,Average,"Health and dental free coverageMicro management, hybrid set days",neg
147,77499602,Opportunities to progress if you put in the work,"I worked at Tripadvisor for 8 years- in that time I saw a ton of development, mentorship &amp; support to help me progress in my career. The people culture is great with most being great fun &amp; willing to pitch in and pull together. My experience was that you have the opportunity to progress upwards or in to other roles, if you are proactive in reaching out across the business to learn more. The company focus on inclusion is really strong, some leaders dedicating real time to drive this across the culture of the businessThe company can try to move fast for it's size- this can cause a breakdown in communications with a matrixed organisation and parallel teams. You have to be able to work around this and pivot quickly. In the last couple of years I felt there was some ambiguity around the business value prop/overall mission- making it less engaging for everyone without clear sight of what was trying to be achieved. European &amp; APAC based employees would often have to flex to adjust to American employee working hours- meant late nights most weeks",neg
148,77459614,Great culture but too many layers,"Flexible work hours, excellent benefitsToo many management changes and job scope can get too niche",pos
149,77434556,xxx,trying multi seiiion eeriit yjosEasy to access life time free beautiful place nice services easy to easy,pos
150,77395999,Good place,Supporting environment throughout the companyWork life balance is a general issue,neg
151,77394043,Agressive selling,Good benefits and bonus. Good insurance.Mostly cold calls to hotels. Exhausting,neg
152,77351044,"First in class colleagues, second tier products",People around you are smart and easy to work withThe ads products were seriously under invested and management always wanted a quick results with minimum investment which doesn't help with securing clients' budget,neg
153,77325820,"Great place, a lot of change",Executives are taking the company in the right directionA lot of new people and many projects are in flux with people learning on the job.,pos
154,77303086,not great,travel benefits were somewhat decentpoor management and communication etc,neg
155,77232102,Great company,"Interesting projects, nice people, very good work life balanceLack of documentation on technical teams",pos
156,77143723,Getting better,Innovative and on trend in thinkingPoor leadership but that has been solved recently,neg
157,77058091,Pros and Cons,"New consumer strategy makes sense for travelers, rational Work From Home policy, excellent benefits packageLimited diversity with People of Color across all levels, stock has yet to rebound post COVID, run very lean teams",pos
158,76954812,Good company to work for,"Good environment, great coworkers, each day brings new learningsNot many I can think of",pos
159,76953814,Good Place to work,"good enviorment to work , nice perks to haveone man show , company is loosing its culture",pos
160,76903753,Great Company to grow,"Very friendly and welcoming colleagues, nice offices, all resources needed to do the job well, good training opportunities, nice perks such as free lunch and holidaysSometimes it feels like things are a little last minute, but overall very pleasant place to work.",pos
161,76821436,good experience,"amazing teammates, some good managers, great ERGssalary and commissions tend to be low",pos
162,76656724,Great Company,"Office - It was amazing, state of the art, lovely view, free parking and a free canteen with amazing food and drinks. Work - Not too much pressure, nice teams, people knew their stuff which helpedAlot of people working different hours to you e.g Australia, Vegas, Oxford",pos
163,76631363,Good Outlook in Data,"- Website with huge traffic and many opportunities to make an impact - Interesting problems to solve - The company is ramping up its investment in data - The sector has recovered from the pandemic and has a positive outlook - Good culture and work-life balance- The company sometimes seems a bit frugal in terms of compensation and benefits. It's not that they don't pay well, but it isn't great either",pos
164,76337351,Every other department seemed to have a blast,The office in Needham was amazing. They had everything I could dream ofOther than a supportive boss - so incredibly micromanaged,pos
165,76263489,Great company,"Work life balance is prioritized, coworkers are smart and care about their work, true team effortWith a large global company, sometimes it is difficult to coordinate between all stakeholders",neg
166,76207091,Good place,GOOD ATMOSPHERE AND MANAGING good benefitsstartup managing a little bit tricky,pos
167,76172060,High level technology but limited growth,In touch with top level engineersBeing off from US headquarters difficult to make a solid career path,neg
168,75993693,great benefits,great environement human first approach great benefits flexible scheduleno remote policy not very clear career path (changes all the time),pos
169,75818106,Decent,"Fun people to work with, good benefitsPay is mediocre, not terrible",neg
170,75642017,"Great Ideas, Great company","Working at Tripadvisor has been a great experience for me. I increased my sales experience and learned how to manage teams. I have also consistently met or exceeded my sales goals. In fact, I won our team's Top Performer of the Year awardTop management changes too fast, they have to improve the learning curve of the middle managers.",pos
171,75409696,Salary decent with commission,Good work life balance during my 2 yearsRestaurant timing during my 2 years,pos
172,75371062,Great environment,amazing office in central london with great amenities good benefits package room to grow and learn flexibilitysometimes Too US-oriented in terms of strategy and relationship with employees,pos
173,75319691,no meritocracy,"none at all, just politicsGood if you are good in politics.",pos
174,75319227,Good to work,As an intern i did my best to catch up the gap between fools and active to gain my skillNeed more friend to become a new collabs,pos
175,74847272,Amazing Culture &amp; Coworkers!,"Coworkers! Tripadvisor employees are some of the most genuine, kind, and supportive group of individuals. Sr. leadership is very down-to-earth, and feedback and ideas are expected and encouraged from every level of the organization. I have to give a special shout out to people ops and talent acquisition who are an incredibly hard working and compassionate team-driven group. Benefits! The reviews don't lie folks. The benefits really are unmatchable, even compared to other large organizations. Flexibility, even within hybrid roles. This is especially true for working parents. For anyone with even a slight interest in travel, it's a FUN, ever-evolving industry. Learning and Development is strongly encouraged, and employee feedback is taken into consideration in many decisions across the org.As with any large, global company- there are usually many layers to get things done. Sometimes, that makes it difficult to hold true ownership for projects/initiatives, especially when it impacts teams cross-functionally.",neg
176,74843990,You will be surrounded by very intelligent people,- Trips to US - Great perks- Company still can't find its direction - Lots of redundancies in recent years,pos
177,74812835,Great team,Very open and collaborative teamNot the best to grow career,pos
178,74539888,"Good Company, Lots of Changes","Good Culture, Bright Teammates, Great IndustryDon't expect to Travel in this role",pos
179,74350049,Good overall,People Benefits Relaxed environment Top managersOutdated business approach Product irrelevant in today’s market,neg
180,74307576,It's a good place to learn and gain experience,"Good benefits, colleagues and other events planned by the company.The base salary is lower compared to other companies in the same business.",neg
181,74226151,Fantastic Company,Amzing work life balance. Good pay and a truly amazing manager!I can’t think of anything,pos
182,74093406,Good,Everything about company is goodNothing about it is bad,neg
183,74058300,Not Recommended At This Instance,"Good benefit, flexible hours, standard pay for middle management level.Surprisingly a very traditional and conservative manager for a tech company. The company needs fresh leaders with more energy who understands technology and travel. Direction is very unclear. Upper management is too busy competing with one another for top management’s attention and self promotion. As much as they claim to uphold diversity, the upper management is very much not diverse.",neg
